Year,Тип водопостачання,Місцевість проживання,Value
2015,,,100.0
2016,,,100.0
2017,,,100.0
2018,,,100.0
2019,,,100.0
2020,,,100.0
2021,,,100.0
2022,,,100.0
2023,,,100.0
2015,централізоване,міська,99.0
2016,централізоване,міська,87.0
2017,централізоване,міська,87.0
2018,централізоване,міська,86.0
2019,централізоване,міська,81.0
2020,централізоване,міська,87.0
2021,централізоване,міська,88.0
2022,централізоване,міська,88.0
2023,централізоване,міська,88.0
2015,централізоване,сільська,25.0
2016,централізоване,сільська,21.0
2017,централізоване,сільська,22.0
2018,централізоване,сільська,21.0
2019,централізоване,сільська,25.0
2020,централізоване,сільська,26.0
2021,централізоване,сільська,22.0
2022,централізоване,сільська,25.0
2023,централізоване,сільська,25.0
2015,non_centralized,міська,1.0
2016,non_centralized,міська,12.0
2017,non_centralized,міська,12.0
2018,non_centralized,міська,13.0
2019,non_centralized,міська,18.0
2020,non_centralized,міська,12.0
2021,non_centralized,міська,11.0
2022,non_centralized,міська,11.0
2023,non_centralized,міська,11.0
2015,non_centralized,сільська,75.0
2016,non_centralized,сільська,78.0
2017,non_centralized,сільська,77.0
2018,non_centralized,сільська,78.0
2019,non_centralized,сільська,74.0
2020,non_centralized,сільська,73.0
2021,non_centralized,сільська,77.0
2022,non_centralized,сільська,74.0
2023,non_centralized,сільська,74.0
2015,,міська,69.1
2016,,міська,69.1
2017,,міська,69.2
2018,,міська,69.3
2019,,міська,69.4
2020,,міська,69.5
2021,,міська,69.6
2022,,міська,69.7
2023,,міська,
2015,,сільська,30.9
2016,,сільська,30.8
2017,,сільська,30.8
2018,,сільська,30.7
2019,,сільська,30.6
2020,,сільська,30.5
2021,,сільська,30.4
2022,,сільська,30.3
2023,,сільська,
