Year,Область,Зони,Value
2015,,,3.16
2015,,Полісся,2.33
2015,,Лісостеп,3.21
2015,,Степ,3.45
2015,Україна,,3.16
2015,Автономна Республіка Крим,,
2015,Вінницька,,2.7
2015,Волинська,,1.56
2015,Дніпропетровська,,3.77
2015,Донецька,,3.8
2015,Житомирська,,2.01
2015,Закарпатська,,2.56
2015,Запорізька,,3.4
2015,Івано-Франківська,,3.28
2015,Київська,,2.98
2015,Кіровоградська,,4.11
2015,Луганська,,3.91
2015,Львівська,,2.67
2015,Миколаївська,,3.24
2015,Одеська,,3.77
2015,Полтавська,,3.18
2015,Рівненська,,2.27
2015,Сумська,,3.5
2015,Тернопільська,,3.13
2015,Харківська,,4.1
2015,Херсонська,,2.45
2015,Хмельницька,,2.96
2015,Черкаська,,3.06
2015,Чернівецька,,2.6
2015,Чернігівська,,2.41
2015,м. Київ,,
2015,м. Севастополь,,
2016,,,
2016,,Полісся,
2016,,Лісостеп,
2016,,Степ,
2016,Україна,,
2016,Автономна Республіка Крим,,
2016,Вінницька,,
2016,Волинська,,
2016,Дніпропетровська,,
2016,Донецька,,
2016,Житомирська,,
2016,Закарпатська,,
2016,Запорізька,,
2016,Івано-Франківська,,
2016,Київська,,
2016,Кіровоградська,,
2016,Луганська,,
2016,Львівська,,
2016,Миколаївська,,
2016,Одеська,,
2016,Полтавська,,
2016,Рівненська,,
2016,Сумська,,
2016,Тернопільська,,
2016,Харківська,,
2016,Херсонська,,
2016,Хмельницька,,
2016,Черкаська,,
2016,Чернівецька,,
2016,Чернігівська,,
2016,м. Київ,,
2016,м. Севастополь,,
2017,,,
2017,,Полісся,
2017,,Лісостеп,
2017,,Степ,
2017,Україна,,
2017,Автономна Республіка Крим,,
2017,Вінницька,,
2017,Волинська,,
2017,Дніпропетровська,,
2017,Донецька,,
2017,Житомирська,,
2017,Закарпатська,,
2017,Запорізька,,
2017,Івано-Франківська,,
2017,Київська,,
2017,Кіровоградська,,
2017,Луганська,,
2017,Львівська,,
2017,Миколаївська,,
2017,Одеська,,
2017,Полтавська,,
2017,Рівненська,,
2017,Сумська,,
2017,Тернопільська,,
2017,Харківська,,
2017,Херсонська,,
2017,Хмельницька,,
2017,Черкаська,,
2017,Чернівецька,,
2017,Чернігівська,,
2017,м. Київ,,
2017,м. Севастополь,,
2018,,,
2018,,Полісся,
2018,,Лісостеп,
2018,,Степ,
2018,Україна,,
2018,Автономна Республіка Крим,,
2018,Вінницька,,
2018,Волинська,,
2018,Дніпропетровська,,
2018,Донецька,,
2018,Житомирська,,
2018,Закарпатська,,
2018,Запорізька,,
2018,Івано-Франківська,,
2018,Київська,,
2018,Кіровоградська,,
2018,Луганська,,
2018,Львівська,,
2018,Миколаївська,,
2018,Одеська,,
2018,Полтавська,,
2018,Рівненська,,
2018,Сумська,,
2018,Тернопільська,,
2018,Харківська,,
2018,Херсонська,,
2018,Хмельницька,,
2018,Черкаська,,
2018,Чернівецька,,
2018,Чернігівська,,
2018,м. Київ,,
2018,м. Севастополь,,
2019,,,
2019,,Полісся,
2019,,Лісостеп,
2019,,Степ,
2019,Україна,,
2019,Автономна Республіка Крим,,
2019,Вінницька,,
2019,Волинська,,
2019,Дніпропетровська,,
2019,Донецька,,
2019,Житомирська,,
2019,Закарпатська,,
2019,Запорізька,,
2019,Івано-Франківська,,
2019,Київська,,
2019,Кіровоградська,,
2019,Луганська,,
2019,Львівська,,
2019,Миколаївська,,
2019,Одеська,,
2019,Полтавська,,
2019,Рівненська,,
2019,Сумська,,
2019,Тернопільська,,
2019,Харківська,,
2019,Херсонська,,
2019,Хмельницька,,
2019,Черкаська,,
2019,Чернівецька,,
2019,Чернігівська,,
2019,м. Київ,,
2019,м. Севастополь,,
2020,,,3.07
2020,,Полісся,2.43
2020,,Лісостеп,3.2
2020,,Степ,3.31
2020,Україна,,3.07
2020,Автономна Республіка Крим,,
2020,Вінницька,,2.9
2020,Волинська,,1.54
2020,Дніпропетровська,,3.72
2020,Донецька,,
2020,Житомирська,,2.08
2020,Закарпатська,,2.73
2020,Запорізька,,3.63
2020,Івано-Франківська,,3.22
2020,Київська,,3.1
2020,Кіровоградська,,4.01
2020,Луганська,,
2020,Львівська,,2.6
2020,Миколаївська,,3.28
2020,Одеська,,3.59
2020,Полтавська,,3.29
2020,Рівненська,,2.48
2020,Сумська,,3.48
2020,Тернопільська,,3.25
2020,Харківська,,4.3
2020,Херсонська,,2.15
2020,Хмельницька,,2.76
2020,Черкаська,,2.98
2020,Чернівецька,,2.7
2020,Чернігівська,,2.71
2020,м. Київ,,
2020,м. Севастополь,,
2021,,,
2021,,Полісся,
2021,,Лісостеп,
2021,,Степ,
2021,Україна,,
2021,Автономна Республіка Крим,,
2021,Вінницька,,
2021,Волинська,,
2021,Дніпропетровська,,
2021,Донецька,,
2021,Житомирська,,
2021,Закарпатська,,
2021,Запорізька,,
2021,Івано-Франківська,,
2021,Київська,,
2021,Кіровоградська,,
2021,Луганська,,
2021,Львівська,,
2021,Миколаївська,,
2021,Одеська,,
2021,Полтавська,,
2021,Рівненська,,
2021,Сумська,,
2021,Тернопільська,,
2021,Харківська,,
2021,Херсонська,,
2021,Хмельницька,,
2021,Черкаська,,
2021,Чернівецька,,
2021,Чернігівська,,
2021,м. Київ,,
2021,м. Севастополь,,
2022,,,
2022,,Полісся,
2022,,Лісостеп,
2022,,Степ,
2022,Україна,,
2022,Автономна Республіка Крим,,
2022,Вінницька,,
2022,Волинська,,
2022,Дніпропетровська,,
2022,Донецька,,
2022,Житомирська,,
2022,Закарпатська,,
2022,Запорізька,,
2022,Івано-Франківська,,
2022,Київська,,
2022,Кіровоградська,,
2022,Луганська,,
2022,Львівська,,
2022,Миколаївська,,
2022,Одеська,,
2022,Полтавська,,
2022,Рівненська,,
2022,Сумська,,
2022,Тернопільська,,
2022,Харківська,,
2022,Херсонська,,
2022,Хмельницька,,
2022,Черкаська,,
2022,Чернівецька,,
2022,Чернігівська,,
2022,м. Київ,,
2022,м. Севастополь,,
2023,,,
2023,,Полісся,
2023,,Лісостеп,
2023,,Степ,
2023,Україна,,
2023,Автономна Республіка Крим,,
2023,Вінницька,,
2023,Волинська,,
2023,Дніпропетровська,,
2023,Донецька,,
2023,Житомирська,,
2023,Закарпатська,,
2023,Запорізька,,
2023,Івано-Франківська,,
2023,Київська,,
2023,Кіровоградська,,
2023,Луганська,,
2023,Львівська,,
2023,Миколаївська,,
2023,Одеська,,
2023,Полтавська,,
2023,Рівненська,,
2023,Сумська,,
2023,Тернопільська,,
2023,Харківська,,
2023,Херсонська,,
2023,Хмельницька,,
2023,Черкаська,,
2023,Чернівецька,,
2023,Чернігівська,,
2023,м. Київ,,
2023,м. Севастополь,,
2024,,,
2024,,Полісся,
2024,,Лісостеп,
2024,,Степ,
2024,Україна,,
2024,Автономна Республіка Крим,,
2024,Вінницька,,
2024,Волинська,,
2024,Дніпропетровська,,
2024,Донецька,,
2024,Житомирська,,
2024,Закарпатська,,
2024,Запорізька,,
2024,Івано-Франківська,,
2024,Київська,,
2024,Кіровоградська,,
2024,Луганська,,
2024,Львівська,,
2024,Миколаївська,,
2024,Одеська,,
2024,Полтавська,,
2024,Рівненська,,
2024,Сумська,,
2024,Тернопільська,,
2024,Харківська,,
2024,Херсонська,,
2024,Хмельницька,,
2024,Черкаська,,
2024,Чернівецька,,
2024,Чернігівська,,
2024,м. Київ,,
2024,м. Севастополь,,
