Year,Вік,Стать,Value
2015,15–64 роки,,9.9
2016,15–64 роки,,9.7
2017,15–64 роки,,9.4
2018,15–64 роки,,9.4
2019,15–64 роки,,8.7
2020,15–64 роки,,9.0
2021,15–64 роки,,9.4
2022,15–64 роки,,
2023,15–64 роки,,
2024,15–64 роки,,
2015,15–64 роки,Жіноча,9.5
2016,15–64 роки,Жіноча,9.2
2017,15–64 роки,Жіноча,8.9
2018,15–64 роки,Жіноча,8.8
2019,15–64 роки,Жіноча,8.1
2020,15–64 роки,Жіноча,8.5
2021,15–64 роки,Жіноча,8.7
2022,15–64 роки,Жіноча,
2023,15–64 роки,Жіноча,
2024,15–64 роки,Жіноча,
2015,15–64 роки,Чоловіча,10.3
2016,15–64 роки,Чоловіча,10.2
2017,15–64 роки,Чоловіча,10.0
2018,15–64 роки,Чоловіча,10.0
2019,15–64 роки,Чоловіча,9.2
2020,15–64 роки,Чоловіча,9.6
2021,15–64 роки,Чоловіча,10.1
2022,15–64 роки,Чоловіча,
2023,15–64 роки,Чоловіча,
2024,15–64 роки,Чоловіча,
2015,15-24 роки,,55.9
2016,15-24 роки,,56.5
2017,15-24 роки,,57.6
2018,15-24 роки,,59.4
2019,15-24 роки,,55.5
2020,15-24 роки,,60.0
2021,15-24 роки,,62.1
2022,15-24 роки,,
2023,15-24 роки,,
2024,15-24 роки,,
2015,15-24 роки,Жіноча,56.5
2016,15-24 роки,Жіноча,56.3
2017,15-24 роки,Жіноча,57.6
2018,15-24 роки,Жіноча,59.4
2019,15-24 роки,Жіноча,55.2
2020,15-24 роки,Жіноча,60.2
2021,15-24 роки,Жіноча,60.9
2022,15-24 роки,Жіноча,
2023,15-24 роки,Жіноча,
2024,15-24 роки,Жіноча,
2015,15-24 роки,Чоловіча,55.3
2016,15-24 роки,Чоловіча,56.7
2017,15-24 роки,Чоловіча,57.6
2018,15-24 роки,Чоловіча,59.4
2019,15-24 роки,Чоловіча,55.8
2020,15-24 роки,Чоловіча,59.8
2021,15-24 роки,Чоловіча,63.1
2022,15-24 роки,Чоловіча,
2023,15-24 роки,Чоловіча,
2024,15-24 роки,Чоловіча,
2015,25-64 роки,,0.8
2016,25-64 роки,,0.9
2017,25-64 роки,,0.8
2018,25-64 роки,,0.8
2019,25-64 роки,,0.7
2020,25-64 роки,,0.5
2021,25-64 роки,,0.5
2022,25-64 роки,,
2023,25-64 роки,,
2024,25-64 роки,,
2015,25-64 роки,Жіноча,0.9
2016,25-64 роки,Жіноча,0.9
2017,25-64 роки,Жіноча,0.8
2018,25-64 роки,Жіноча,0.7
2019,25-64 роки,Жіноча,0.7
2020,25-64 роки,Жіноча,0.4
2021,25-64 роки,Жіноча,0.4
2022,25-64 роки,Жіноча,
2023,25-64 роки,Жіноча,
2024,25-64 роки,Жіноча,
2015,25-64 роки,Чоловіча,0.7
2016,25-64 роки,Чоловіча,0.8
2017,25-64 роки,Чоловіча,0.8
2018,25-64 роки,Чоловіча,0.9
2019,25-64 роки,Чоловіча,0.7
2020,25-64 роки,Чоловіча,0.5
2021,25-64 роки,Чоловіча,0.5
2022,25-64 роки,Чоловіча,
2023,25-64 роки,Чоловіча,
2024,25-64 роки,Чоловіча,
