Year,Область,Безпечність,Value
2015,,небезпечних відходів,14.0
2016,,небезпечних відходів,15.0
2017,,небезпечних відходів,14.0
2018,,небезпечних відходів,15.0
2019,,небезпечних відходів,13.0
2020,,небезпечних відходів,13.0
2021,,небезпечних відходів,15.0
2022,,небезпечних відходів,
2023,,небезпечних відходів,
2024,,небезпечних відходів,
2015,,"відходів, що не є небезпечними",7274.0
2016,,"відходів, що не є небезпечними",6919.0
2017,,"відходів, що не є небезпечними",8602.0
2018,,"відходів, що не є небезпечними",8602.0
2019,,"відходів, що не є небезпечними",10492.0
2020,,"відходів, що не є небезпечними",11061.0
2021,,"відходів, що не є небезпечними",11906.0
2022,,"відходів, що не є небезпечними",
2023,,"відходів, що не є небезпечними",
2024,,"відходів, що не є небезпечними",
2015,Україна,,7288.0
2016,Україна,,6934.0
2017,Україна,,8616.0
2018,Україна,,8335.0
2019,Україна,,10505.0
2020,Україна,,11074.0
2021,Україна,,11921.0
2022,Україна,,
2023,Україна,,
2024,Україна,,
2015,Автономна Республіка Крим,,
2016,Автономна Республіка Крим,,
2017,Автономна Республіка Крим,,
2018,Автономна Республіка Крим,,
2019,Автономна Республіка Крим,,
2020,Автономна Республіка Крим,,
2021,Автономна Республіка Крим,,
2022,Автономна Республіка Крим,,
2023,Автономна Республіка Крим,,
2024,Автономна Республіка Крим,,
2015,Вінницька,,1214.0
2016,Вінницька,,1208.0
2017,Вінницька,,1479.0
2018,Вінницька,,1137.0
2019,Вінницька,,1746.0
2020,Вінницька,,1013.0
2021,Вінницька,,1064.0
2022,Вінницька,,
2023,Вінницька,,
2024,Вінницька,,
2015,Волинська,,613.0
2016,Волинська,,657.0
2017,Волинська,,705.0
2018,Волинська,,536.0
2019,Волинська,,647.0
2020,Волинська,,612.0
2021,Волинська,,483.0
2022,Волинська,,
2023,Волинська,,
2024,Волинська,,
2015,Дніпропетровська,,69533.0
2016,Дніпропетровська,,63482.0
2017,Дніпропетровська,,75250.0
2018,Дніпропетровська,,75680.0
2019,Дніпропетровська,,79032.0
2020,Дніпропетровська,,97931.0
2021,Дніпропетровська,,89356.0
2022,Дніпропетровська,,
2023,Дніпропетровська,,
2024,Дніпропетровська,,
2015,Донецька,,3942.0
2016,Донецька,,4749.0
2017,Донецька,,5313.0
2018,Донецька,,5764.0
2019,Донецька,,6365.0
2020,Донецька,,6555.0
2021,Донецька,,5965.0
2022,Донецька,,
2023,Донецька,,
2024,Донецька,,
2015,Житомирська,,414.0
2016,Житомирська,,443.0
2017,Житомирська,,445.0
2018,Житомирська,,397.0
2019,Житомирська,,391.0
2020,Житомирська,,331.0
2021,Житомирська,,379.0
2022,Житомирська,,
2023,Житомирська,,
2024,Житомирська,,
2015,Закарпатська,,106.0
2016,Закарпатська,,124.0
2017,Закарпатська,,138.0
2018,Закарпатська,,148.0
2019,Закарпатська,,122.0
2020,Закарпатська,,116.0
2021,Закарпатська,,116.0
2022,Закарпатська,,
2023,Закарпатська,,
2024,Закарпатська,,
2015,Запорізька,,3105.0
2016,Запорізька,,2886.0
