Year,Область,Вікові групи,Стать,Тип місцевості проживання,Освіта,Value
2015,,,,,,56.7
2015,,15–24 роки,,,,28.2
2015,,25–29 років,,,,71.8
2015,,30–34 роки,,,,74.3
2015,,35–39 років,,,,79.1
2015,,40–49 років,,,,78.6
2015,,50–59 років,,,,61.7
2015,,60–70 років,,,,14.5
2015,,,жінки,,,51.7
2015,,,чоловіки,,,62.2
2015,,,,міська,,57.4
2015,,,,сільська,,55.1
2015,,,,,повна вища,71.9
2015,,,,,базова вища,49.3
2015,,,,,неповна вища,62.6
2015,,,,,професійно-технічна,63.3
2015,,,,,повна загальна середня,42.7
2015,,,,,"базова, початкова загальна середня або не мають освіти",16.7
2015,Україна,,,,,56.7
2015,Автономна Республіка Крим,,,,,
2015,Вінницька,,,,,57.7
2015,Волинська,,,,,53.1
2015,Дніпропетровська,,,,,60.9
2015,Донецька,,,,,50.3
2015,Житомирська,,,,,55.5
2015,Закарпатська,,,,,56.2
2015,Запорізька,,,,,56.4
2015,Івано-Франківська,,,,,54.8
2015,Київська,,,,,58.1
2015,Кіровоградська,,,,,54.0
2015,Луганська,,,,,54.6
2015,Львівська,,,,,55.5
2015,Миколаївська,,,,,58.4
2015,Одеська,,,,,57.3
2015,Полтавська,,,,,54.2
2015,Рівненська,,,,,58.5
2015,Сумська,,,,,55.6
2015,Тернопільська,,,,,51.6
2015,Харківська,,,,,59.3
2015,Херсонська,,,,,56.1
2015,Хмельницька,,,,,52.6
2015,Черкаська,,,,,56.5
2015,Чернівецька,,,,,54.9
2015,Чернігівська,,,,,56.2
2015,м. Київ,,,,,62.0
2015,м. Севастополь,,,,,
2016,,,,,,56.3
2016,,15–24 роки,,,,27.0
2016,,25–29 років,,,,69.8
2016,,30–34 роки,,,,74.7
2016,,35–39 років,,,,78.4
2016,,40–49 років,,,,78.2
2016,,50–59 років,,,,62.4
2016,,60–70 років,,,,14.3
2016,,,жінки,,,51.6
2016,,,чоловіки,,,61.6
2016,,,,міська,,57.0
2016,,,,сільська,,54.9
2016,,,,,повна вища,70.8
2016,,,,,базова вища,46.2
2016,,,,,неповна вища,62.2
2016,,,,,професійно-технічна,62.9
2016,,,,,повна загальна середня,42.1
2016,,,,,"базова, початкова загальна середня або не мають освіти",16.9
2016,Україна,,,,,56.3
2016,Автономна Республіка Крим,,,,,
2016,Вінницька,,,,,56.6
2016,Волинська,,,,,51.0
2016,Дніпропетровська,,,,,59.1
2016,Донецька,,,,,50.0
2016,Житомирська,,,,,55.9
2016,Закарпатська,,,,,54.8
2016,Запорізька,,,,,56.0
2016,Івано-Франківська,,,,,54.7
2016,Київська,,,,,57.8
2016,Кіровоградська,,,,,52.9
2016,Луганська,,,,,55.6
2016,Львівська,,,,,55.9
2016,Миколаївська,,,,,57.5
2016,Одеська,,,,,56.7
2016,Полтавська,,,,,53.3
2016,Рівненська,,,,,56.9
2016,Сумська,,,,,56.8
2016,Тернопільська,,,,,52.0
2016,Харківська,,,,,59.7
2016,Херсонська,,,,,55.8
2016,Хмельницька,,,,,53.9
2016,Черкаська,,,,,56.2
2016,Чернівецька,,,,,56.2
2016,Чернігівська,,,,,55.6
2016,м. Київ,,,,,62.3
2016,м. Севастополь,,,,,
2017,,,,,,56.1
2017,,15–24 роки,,,,27.9
2017,,25–29 років,,,,69.7
2017,,30–34 роки,,,,74.6
2017,,35–39 років,,,,77.6
2017,,40–49 років,,,,77.3
2017,,50–59 років,,,,62.9
2017,,60–70 років,,,,13.9
2017,,,жінки,,,51.4
2017,,,чоловіки,,,61.4
2017,,,,міська,,56.9
2017,,,,сільська,,54.4
2017,,,,,повна вища,70.5
2017,,,,,базова вища,45.7
2017,,,,,неповна вища,61.2
2017,,,,,професійно-технічна,61.6
2017,,,,,повна загальна середня,42.6
2017,,,,,"базова, початкова загальна середня або не мають освіти",16.7
2017,Україна,,,,,56.1
2017,Автономна Республіка Крим,,,,,
2017,Вінницька,,,,,55.3
2017,Волинська,,,,,48.8
2017,Дніпропетровська,,,,,58.0
2017,Донецька,,,,,49.4
2017,Житомирська,,,,,56.4
2017,Закарпатська,,,,,53.8
2017,Запорізька,,,,,55.2
2017,Івано-Франківська,,,,,55.0
2017,Київська,,,,,58.0
2017,Кіровоградська,,,,,53.3
2017,Луганська,,,,,54.7
2017,Львівська,,,,,56.2
2017,Миколаївська,,,,,56.8
2017,Одеська,,,,,56.1
2017,Полтавська,,,,,54.0
2017,Рівненська,,,,,55.1
2017,Сумська,,,,,57.4
2017,Тернопільська,,,,,51.0
2017,Харківська,,,,,60.6
2017,Херсонська,,,,,56.2
2017,Хмельницька,,,,,54.7
2017,Черкаська,,,,,56.7
2017,Чернівецька,,,,,56.6
2017,Чернігівська,,,,,56.1
2017,м. Київ,,,,,61.8
2017,м. Севастополь,,,,,
2018,,,,,,57.1
2018,,15–24 роки,,,,27.6
2018,,25–29 років,,,,71.8
2018,,30–34 роки,,,,75.9
2018,,35–39 років,,,,76.7
2018,,40–49 років,,,,79.4
2018,,50–59 років,,,,65.5
2018,,60–70 років,,,,13.2
2018,,,жінки,,,52.5
2018,,,чоловіки,,,62.1
2018,,,,міська,,58.1
2018,,,,сільська,,55.0
2018,,,,,повна вища,71.5
2018,,,,,базова вища,49.3
2018,,,,,неповна вища,62.4
2018,,,,,професійно-технічна,62.5
2018,,,,,повна загальна середня,43.2
2018,,,,,"базова, початкова загальна середня або не мають освіти",15.5
2018,Україна,,,,,57.1
2018,Автономна Республіка Крим,,,,,
2018,Вінницька,,,,,56.8
2018,Волинська,,,,,49.5
2018,Дніпропетровська,,,,,58.6
2018,Донецька,,,,,50.0
2018,Житомирська,,,,,57.5
2018,Закарпатська,,,,,54.5
2018,Запорізька,,,,,56.7
2018,Івано-Франківська,,,,,55.6
2018,Київська,,,,,58.5
2018,Кіровоградська,,,,,54.5
2018,Луганська,,,,,56.9
2018,Львівська,,,,,56.8
2018,Миколаївська,,,,,58.1
2018,Одеська,,,,,57.2
2018,Полтавська,,,,,55.1
2018,Рівненська,,,,,56.8
2018,Сумська,,,,,58.4
2018,Тернопільська,,,,,52.7
2018,Харківська,,,,,61.4
2018,Херсонська,,,,,57.5
2018,Хмельницька,,,,,55.9
2018,Черкаська,,,,,57.7
2018,Чернівецька,,,,,57.2
2018,Чернігівська,,,,,57.3
2018,м. Київ,,,,,62.6
2018,м. Севастополь,,,,,
2019,,,,,,58.2
2019,,15–24 роки,,,,30.6
2019,,25–29 років,,,,73.3
2019,,30–34 роки,,,,76.0
2019,,35–39 років,,,,79.3
2019,,40–49 років,,,,78.7
2019,,50–59 років,,,,67.9
2019,,60–70 років,,,,13.7
2019,,,жінки,,,52.9
2019,,,чоловіки,,,64.0
2019,,,,міська,,59.1
2019,,,,сільська,,56.2
2019,,,,,повна вища,72.5
2019,,,,,базова вища,56.9
2019,,,,,неповна вища,62.2
2019,,,,,професійно-технічна,63.6
2019,,,,,повна загальна середня,44.7
2019,,,,,"базова, початкова загальна середня або не мають освіти",17.8
2019,Україна,,,,,58.2
2019,Автономна Республіка Крим,,,,,
2019,Вінницька,,,,,58.0
2019,Волинська,,,,,50.9
2019,Дніпропетровська,,,,,59.5
2019,Донецька,,,,,50.9
2019,Житомирська,,,,,58.5
2019,Закарпатська,,,,,55.4
2019,Запорізька,,,,,58.1
2019,Івано-Франківська,,,,,56.6
