Year,Type of residence,Age,Sex,Region,Value
2015,,,,,19.6
2015,,,females,,20.2
2015,,,males,,19.1
2015,,age_18,,,21.9
2015,,age_18_29,,,18.9
2015,,age_30_59,,,18.2
2015,,age_60,,,20.7
2015,rural,,,,18.8
2015,urban,,,,20.0
2015,,,,autonomous_Republic_of_Crimea,
2015,,,,11_reg_Vinnytsya,18.9
2015,,,,12_reg_Volyn,13.3
2015,,,,13_reg_Dnipropetrovsk,29.8
2015,,,,14_reg_Donetsk,20.1
2015,,,,15_reg_Zhytomyr,14.6
2015,,,,16_reg_Zakarpattya,61.7
2015,,,,17_reg_Zaporizhzhya,19.6
2015,,,,18_reg_Ivano-Frankivsk,34.9
2015,,,,19_reg_Kyiv,3.7
2015,,,,20_reg_Kirovohrad,18.4
2015,,,,21_reg_Luhansk,36.3
2015,,,,22_reg_Lviv,5.4
2015,,,,23_reg_Mykolayiv,
2015,,,,24_reg_Odesa,20.0
2015,,,,25_reg_Poltava,9.4
2015,,,,26_reg_Rivne,6.2
2015,,,,27_reg_Sumy,8.9
2015,,,,28_reg_Ternopil,24.2
2015,,,,29_reg_Kharkiv,17.7
2015,,,,30_reg_Kherson,40.7
2015,,,,31_reg_Khmelnytskiy,
2015,,,,32_reg_Cherkasy,39.1
2015,,,,33_reg_Chernivtsi,3.2
2015,,,,34_reg_Chernihiv,15.5
2015,,,,35_reg_Kyiv_city,6.7
2015,,,,city_Sevastopol,
2015,,,,23_reg_Mykolayiv,23.6
2015,,,,31_reg_Khmelnytskiy,20.2
2017,,,,,25.3
2017,,,females,,26.5
2017,,,males,,23.9
2017,,age_18,,,25.4
2017,,age_18_29,,,23.8
2017,,age_30_59,,,23.5
2017,,age_60,,,29.5
2017,rural,,,,25.0
2017,urban,,,,25.5
2017,,,,autonomous_Republic_of_Crimea,
2017,,,,11_reg_Vinnytsya,29.0
2017,,,,12_reg_Volyn,7.2
2017,,,,13_reg_Dnipropetrovsk,21.9
2017,,,,14_reg_Donetsk,22.9
2017,,,,15_reg_Zhytomyr,11.0
2017,,,,16_reg_Zakarpattya,66.0
2017,,,,17_reg_Zaporizhzhya,22.3
2017,,,,18_reg_Ivano-Frankivsk,64.4
2017,,,,19_reg_Kyiv,11.1
2017,,,,20_reg_Kirovohrad,9.2
2017,,,,21_reg_Luhansk,25.8
2017,,,,22_reg_Lviv,3.6
2017,,,,23_reg_Mykolayiv,
2017,,,,24_reg_Odesa,19.2
2017,,,,25_reg_Poltava,15.4
2017,,,,26_reg_Rivne,7.8
2017,,,,27_reg_Sumy,59.7
2017,,,,28_reg_Ternopil,14.7
2017,,,,29_reg_Kharkiv,34.2
2017,,,,30_reg_Kherson,59.4
2017,,,,31_reg_Khmelnytskiy,
2017,,,,32_reg_Cherkasy,61.0
2017,,,,33_reg_Chernivtsi,12.9
2017,,,,34_reg_Chernihiv,67.8
2017,,,,35_reg_Kyiv_city,8.4
2017,,,,city_Sevastopol,
2017,,,,23_reg_Mykolayiv,27.4
2017,,,,31_reg_Khmelnytskiy,5.7
2019,,,,,18.8
2019,,,females,,19.6
2019,,,males,,18.0
2019,,age_18,,,18.4
2019,,age_18_29,,,15.7
2019,,age_30_59,,,16.6
2019,,age_60,,,25.0
2019,rural,,,,18.3
2019,urban,,,,19.1
2019,,,,autonomous_Republic_of_Crimea,
2019,,,,11_reg_Vinnytsya,28.8
2019,,,,12_reg_Volyn,3.5
2019,,,,13_reg_Dnipropetrovsk,27.8
2019,,,,14_reg_Donetsk,25.7
2019,,,,15_reg_Zhytomyr,20.7
2019,,,,16_reg_Zakarpattya,34.0
2019,,,,17_reg_Zaporizhzhya,20.6
2019,,,,18_reg_Ivano-Frankivsk,37.4
2019,,,,19_reg_Kyiv,24.3
2019,,,,20_reg_Kirovohrad,10.3
2019,,,,21_reg_Luhansk,17.1
2019,,,,22_reg_Lviv,4.6
2019,,,,23_reg_Mykolayiv,
2019,,,,24_reg_Odesa,7.4
2019,,,,25_reg_Poltava,7.9
2019,,,,26_reg_Rivne,8.5
2019,,,,27_reg_Sumy,25.3
2019,,,,28_reg_Ternopil,11.6
2019,,,,29_reg_Kharkiv,21.7
2019,,,,30_reg_Kherson,52.6
2019,,,,31_reg_Khmelnytskiy,
2019,,,,32_reg_Cherkasy,39.8
2019,,,,33_reg_Chernivtsi,2.4
2019,,,,34_reg_Chernihiv,25.1
2019,,,,35_reg_Kyiv_city,3.5
2019,,,,city_Sevastopol,
2019,,,,23_reg_Mykolayiv,18.0
2019,,,,31_reg_Khmelnytskiy,5.7
2021,,,,,15.4
2021,,,females,,16.3
2021,,,males,,14.3
2021,,age_18,,,14.1
2021,,age_18_29,,,15.5
2021,,age_30_59,,,13.7
2021,,age_60,,,19.5
2021,rural,,,,18.3
2021,urban,,,,13.9
2021,,,,autonomous_Republic_of_Crimea,
2021,,,,11_reg_Vinnytsya,27.8
2021,,,,12_reg_Volyn,2.2
2021,,,,13_reg_Dnipropetrovsk,13.5
2021,,,,14_reg_Donetsk,18.7
2021,,,,15_reg_Zhytomyr,5.1
2021,,,,16_reg_Zakarpattya,51.9
2021,,,,17_reg_Zaporizhzhya,20.0
2021,,,,18_reg_Ivano-Frankivsk,46.7
2021,,,,19_reg_Kyiv,14.3
2021,,,,20_reg_Kirovohrad,2.9
