Year,Стать,Місцевість проживання,Область,Value
2015,,,,23.5
2015,жінки,,,22.8
2015,чоловіки,,,23.9
2015,,міська,,27.0
2015,,сільська,,16.1
2015,,,Автономна Республіка Крим,
2015,,,Вінницька,35.0
2015,,,Волинська,18.3
2015,,,Дніпропетровська,43.3
2015,,,Донецька,20.3
2015,,,Житомирська,21.7
2015,,,Закарпатська,2.5
2015,,,Запорізька,26.1
2015,,,Івано-Франківська,6.4
2015,,,Київська,30.6
2015,,,Кіровоградська,20.3
2015,,,Луганська,32.3
2015,,,Львівська,30.7
2015,,,Миколаївська,7.5
2015,,,Одеська,7.4
2015,,,Полтавська,38.3
2015,,,Рівненська,3.4
2015,,,Сумська,7.0
2015,,,Тернопільська,7.9
2015,,,Харківська,22.8
2015,,,Херсонська,14.0
2015,,,Хмельницька,7.4
2015,,,Черкаська,24.9
2015,,,Чернівецька,4.8
2015,,,Чернігівська,16.9
2015,,,м. Київ,62.6
2015,,,м. Севастополь,
2016,,,,24.7
2016,жінки,,,28.1
2016,чоловіки,,,22.5
2016,,міська,,28.7
2016,,сільська,,16.5
2016,,,Автономна Республіка Крим,
2016,,,Вінницька,28.6
2016,,,Волинська,19.1
2016,,,Дніпропетровська,27.9
2016,,,Донецька,34.0
2016,,,Житомирська,5.5
2016,,,Закарпатська,
2016,,,Запорізька,40.8
2016,,,Івано-Франківська,13.3
2016,,,Київська,40.6
2016,,,Кіровоградська,26.0
2016,,,Луганська,34.9
2016,,,Львівська,16.8
2016,,,Миколаївська,20.5
2016,,,Одеська,18.8
2016,,,Полтавська,52.2
2016,,,Рівненська,3.2
2016,,,Сумська,5.3
2016,,,Тернопільська,12.3
2016,,,Харківська,22.8
2016,,,Херсонська,12.2
2016,,,Хмельницька,9.1
2016,,,Черкаська,37.0
2016,,,Чернівецька,2.8
2016,,,Чернігівська,12.8
2016,,,м. Київ,56.8
2016,,,м. Севастополь,
2017,,,,26.1
2017,жінки,,,24.3
2017,чоловіки,,,27.3
2017,,міська,,30.2
2017,,сільська,,17.7
2017,,,Автономна Республіка Крим,
2017,,,Вінницька,24.3
2017,,,Волинська,46.3
2017,,,Дніпропетровська,35.1
2017,,,Донецька,36.5
2017,,,Житомирська,3.1
2017,,,Закарпатська,
2017,,,Запорізька,39.4
2017,,,Івано-Франківська,24.3
2017,,,Київська,40.1
2017,,,Кіровоградська,22.4
2017,,,Луганська,37.4
2017,,,Львівська,23.1
2017,,,Миколаївська,13.9
2017,,,Одеська,15.3
2017,,,Полтавська,30.5
2017,,,Рівненська,12.6
2017,,,Сумська,1.7
2017,,,Тернопільська,13.0
2017,,,Харківська,15.4
2017,,,Херсонська,14.7
2017,,,Хмельницька,17.3
2017,,,Черкаська,37.2
2017,,,Чернівецька,16.7
2017,,,Чернігівська,16.8
2017,,,м. Київ,61.6
2017,,,м. Севастополь,
2018,,,,21.1
2018,жінки,,,19.8
2018,чоловіки,,,22.0
2018,,міська,,24.7
2018,,сільська,,13.6
2018,,,Автономна Республіка Крим,
2018,,,Вінницька,35.5
2018,,,Волинська,18.6
2018,,,Дніпропетровська,34.8
2018,,,Донецька,26.1
2018,,,Житомирська,3.5
2018,,,Закарпатська,
2018,,,Запорізька,27.1
2018,,,Івано-Франківська,7.7
2018,,,Київська,26.2
2018,,,Кіровоградська,25.9
2018,,,Луганська,27.1
2018,,,Львівська,17.7
2018,,,Миколаївська,14.2
2018,,,Одеська,3.5
2018,,,Полтавська,26.2
2018,,,Рівненська,
2018,,,Сумська,20.0
2018,,,Тернопільська,8.2
2018,,,Харківська,27.9
2018,,,Херсонська,11.1
2018,,,Хмельницька,13.5
2018,,,Черкаська,22.8
2018,,,Чернівецька,10.3
2018,,,Чернігівська,16.5
2018,,,м. Київ,48.7
2018,,,м. Севастополь,
2019,,,,12.6
2019,жінки,,,12.7
2019,чоловіки,,,12.6
2019,,міська,,14.6
2019,,сільська,,8.7
2019,,,Автономна Республіка Крим,
2019,,,Вінницька,15.4
2019,,,Волинська,12.4
2019,,,Дніпропетровська,15.0
2019,,,Донецька,16.9
2019,,,Житомирська,
2019,,,Закарпатська,
2019,,,Запорізька,24.3
2019,,,Івано-Франківська,7.2
2019,,,Київська,16.5
2019,,,Кіровоградська,12.1
2019,,,Луганська,17.2
2019,,,Львівська,8.3
2019,,,Миколаївська,8.6
2019,,,Одеська,10.9
2019,,,Полтавська,11.8
2019,,,Рівненська,4.8
2019,,,Сумська,12.1
2019,,,Тернопільська,5.0
2019,,,Харківська,19.5
2019,,,Херсонська,4.7
2019,,,Хмельницька,17.0
2019,,,Черкаська,6.0
2019,,,Чернівецька,17.4
2019,,,Чернігівська,5.5
2019,,,м. Київ,24.6
2019,,,м. Севастополь,
2020,,,,20.6
2020,жінки,,,21.0
2020,чоловіки,,,20.3
2020,,міська,,23.5
2020,,сільська,,15.0
2020,,,Автономна Республіка Крим,
2020,,,Вінницька,27.7
2020,,,Волинська,15.8
2020,,,Дніпропетровська,20.4
2020,,,Донецька,20.9
2020,,,Житомирська,6.5
2020,,,Закарпатська,
