Year,group_label_230,Age,Sex,Type of residence,group_label_322,group_24,group_25,group_label_323,Value
2015,,,,,,,,,38303
2015,group_label_230,,,,,,,,
2015,,age_18_1,,,,,,,169
2015,,age_18_35,,,,,,,5827
2015,,age_36_60,,,,,,,18009
2015,,age_61,,,,,,,14298
2015,,,males_1,,,,,,15673
2015,,,females_1,,,,,,22630
2015,,,,urban,,,,,
2015,,,,rural,,,,,
2015,,,,,group_label_322,,,,41309
2015,,,,,,group_label_235,,,28444
2015,,,,,,group_label_236,,,8911
2015,,,,,,,group_label_237,,6534
2015,,,,,,,group_label_238,,3996
2015,,,,,,,group_label_239,,4129
2015,,,,,,,group_label_240,,369
2015,,,,,,,group_label_241,,2151
2015,,,,,,,group_label_242,,1181
2015,,,,,,,group_label_243,,3376
2015,,,,,,,group_label_244,,3130
2015,,,,,,,group_label_245,,5168
2015,,,,,,,group_label_246,,5997
2015,,,,,,,group_label_247,,1016
2015,,,,,,,group_label_248,,360
2015,,,,,,,group_label_249,,4249
2015,,,,,,,group_label_250,,
2015,,,,,,,group_label_251,,
2015,,,,,,,group_label_252,,
2015,,,,,,,group_label_253,,
2015,,,,,,,group_label_254,,
2015,,,,,,,group_label_255,,
2015,,,,,,,,autonomous_Republic_of_Crimea,
2015,,,,,,,,11_reg_Vinnytsya,1866
2015,,,,,,,,12_reg_Volyn,1232
2015,,,,,,,,13_reg_Dnipropetrovsk,4069
2015,,,,,,,,14_reg_Donetsk,711
2015,,,,,,,,15_reg_Zhytomyr,1316
2015,,,,,,,,16_reg_Zakarpattya,829
2015,,,,,,,,17_reg_Zaporizhzhya,2094
2015,,,,,,,,18_reg_Ivano-Frankivsk,1062
2015,,,,,,,,19_reg_Kyiv,1223
2015,,,,,,,,20_reg_Kirovohrad,2054
2015,,,,,,,,21_reg_Luhansk,250
2015,,,,,,,,22_reg_Lviv,1969
2015,,,,,,,,23_reg_Mykolayiv,929
2015,,,,,,,,24_reg_Odesa,2175
2015,,,,,,,,25_reg_Poltava,1960
2015,,,,,,,,26_reg_Rivne,2067
2015,,,,,,,,27_reg_Sumy,2881
2015,,,,,,,,28_reg_Ternopil,948
2015,,,,,,,,29_reg_Kharkiv,2680
2015,,,,,,,,30_reg_Kherson,1072
2015,,,,,,,,31_reg_Khmelnytskiy,1599
2015,,,,,,,,32_reg_Cherkasy,1444
2015,,,,,,,,33_reg_Chernivtsi,1147
2015,,,,,,,,34_reg_Chernihiv,1184
2015,,,,,,,,Kyiv_city,2548
2015,,,,,,,,city_Sevastopol,

2016,,,,,,,,,219981
2016,group_label_230,,,,,,,,
2016,,age_18_1,,,,,,,1413
2016,,age_18_35,,,,,,,48456
2016,,age_36_60,,,,,,,110488
2016,,age_61,,,,,,,59624
2016,,,males_1,,,,,,93488
2016,,,females_1,,,,,,126493
2016,,,,urban,,,,,
2016,,,,rural,,,,,
2016,,,,,group_label_322,,,,275039
2016,,,,,,group_label_235,,,239164
2016,,,,,,group_label_236,,,34126
2016,,,,,,,group_label_237,,50898
2016,,,,,,,group_label_238,,29722
2016,,,,,,,group_label_239,,29671
2016,,,,,,,group_label_240,,2265
2016,,,,,,,group_label_241,,14023
2016,,,,,,,group_label_242,,10217
2016,,,,,,,group_label_243,,23269
2016,,,,,,,group_label_244,,18617
2016,,,,,,,group_label_245,,21979
2016,,,,,,,group_label_246,,43639
2016,,,,,,,group_label_247,,7323
2016,,,,,,,group_label_248,,3163
2016,,,,,,,group_label_249,,20545
2016,,,,,,,group_label_250,,
2016,,,,,,,group_label_251,,
2016,,,,,,,group_label_252,,
2016,,,,,,,group_label_253,,
2016,,,,,,,group_label_254,,
2016,,,,,,,group_label_255,,
2016,,,,,,,,autonomous_Republic_of_Crimea,
