Year,Sex,Age,Region,Value
2015,,,,
2016,,,,
2017,,,,18.0
2017,adults,,,
2017,children,,,
2017,,women,,
2017,,men,,
2017,,,Autonomous Republic of Crimea,
2017,,,Vinnytsya,9.0
2017,,,Volyn,12.0
2017,,,Dnipropetrovsk,7.0
2017,,,Donetsk,29.0
2017,,,Zhytomyr,18.0
2017,,,Zakarpattya,21.0
2017,,,Zaporizhzhya,34.0
2017,,,Ivano-Frankivsk,0.0
2017,,,Kyiv,25.0
2017,,,Kirovohrad,7.0
2017,,,Luhansk,6.0
2017,,,Lviv,22.0
2017,,,Mykolayiv,48.0
2017,,,Odesa,16.0
2017,,,Poltava,0.0
2017,,,Rivne,87.0
2017,,,Sumy,0.0
2017,,,Ternopil,3.0
2017,,,Kharkiv,34.0
2017,,,Kherson,5.0
2017,,,Khmelnytskiy,33.0
2017,,,Cherkasy,12.0
2017,,,Chernivtsi,23.0
2017,,,Chernihiv,22.0
2017,,,the city of Kyiv,25.0
2017,,,city Sevastopol,
2018,,,,15.0
2018,adults,,,
2018,children,,,
2018,,women,,
2018,,men,,
2018,,,Autonomous Republic of Crimea,
2018,,,Vinnytsya,6.0
2018,,,Volyn,9.0
2018,,,Dnipropetrovsk,8.0
2018,,,Donetsk,40.0
2018,,,Zhytomyr,7.0
2018,,,Zakarpattya,16.0
2018,,,Zaporizhzhya,37.0
2018,,,Ivano-Frankivsk,0.0
2018,,,Kyiv,21.0
2018,,,Kirovohrad,11.0
2018,,,Luhansk,3.0
2018,,,Lviv,21.0
2018,,,Mykolayiv,23.0
2018,,,Odesa,9.0
2018,,,Poltava,0.0
2018,,,Rivne,52.0
2018,,,Sumy,0.0
2018,,,Ternopil,1.0
2018,,,Kharkiv,45.0
2018,,,Kherson,4.0
2018,,,Khmelnytskiy,22.0
2018,,,Cherkasy,7.0
2018,,,Chernivtsi,21.0
2018,,,Chernihiv,29.0
2018,,,the city of Kyiv,21.0
2018,,,city Sevastopol,
2019,,,,18.0
2019,adults,,,
2019,children,,,
2019,,women,,
2019,,men,,
2019,,,Autonomous Republic of Crimea,
2019,,,Vinnytsya,13.0
2019,,,Volyn,10.0
2019,,,Dnipropetrovsk,16.0
2019,,,Donetsk,76.0
2019,,,Zhytomyr,7.0
2019,,,Zakarpattya,11.0
2019,,,Zaporizhzhya,47.0
