Year,Region,group_28,group_13,group_16,group_31,Value
2015,,,,,,9.1
2016,,,,,,9.3
2017,,,,,,9.5
2018,,,,,,8.8
2019,,,,,,8.2
2020,,,,,,9.5
2021,,,,,,9.9
2022,,,,,,
2023,,,,,,
2024,,,,,,
2015,Ukraine,,,,,9.1
2016,Ukraine,,,,,9.3
2017,Ukraine,,,,,9.5
2018,Ukraine,,,,,8.8
2019,Ukraine,,,,,8.2
2020,Ukraine,,,,,9.5
2021,Ukraine,,,,,9.9
2022,Ukraine,,,,,
2023,Ukraine,,,,,
2024,Ukraine,,,,,
2015,autonomous_Republic_of_Crimea,,,,,
2016,autonomous_Republic_of_Crimea,,,,,
2017,autonomous_Republic_of_Crimea,,,,,
2018,autonomous_Republic_of_Crimea,,,,,
2019,autonomous_Republic_of_Crimea,,,,,
2020,autonomous_Republic_of_Crimea,,,,,
2021,autonomous_Republic_of_Crimea,,,,,
2022,autonomous_Republic_of_Crimea,,,,,
2023,autonomous_Republic_of_Crimea,,,,,
2024,autonomous_Republic_of_Crimea,,,,,
2015,11_reg_Vinnytsya,,,,,8.9
2016,11_reg_Vinnytsya,,,,,9.7
2017,11_reg_Vinnytsya,,,,,10.7
2018,11_reg_Vinnytsya,,,,,9.9
2019,11_reg_Vinnytsya,,,,,9.4
2020,11_reg_Vinnytsya,,,,,10.7
2021,11_reg_Vinnytsya,,,,,11.0
2022,11_reg_Vinnytsya,,,,,
2023,11_reg_Vinnytsya,,,,,
2024,11_reg_Vinnytsya,,,,,
2015,12_reg_Volyn,,,,,9.8
2016,12_reg_Volyn,,,,,11.5
2017,12_reg_Volyn,,,,,12.5
2018,12_reg_Volyn,,,,,11.4
2019,12_reg_Volyn,,,,,10.6
2020,12_reg_Volyn,,,,,12.5
2021,12_reg_Volyn,,,,,12.7
2022,12_reg_Volyn,,,,,
2023,12_reg_Volyn,,,,,
2024,12_reg_Volyn,,,,,
2015,13_reg_Dnipropetrovsk,,,,,7.2
2016,13_reg_Dnipropetrovsk,,,,,7.9
2017,13_reg_Dnipropetrovsk,,,,,8.5
2018,13_reg_Dnipropetrovsk,,,,,8.0
2019,13_reg_Dnipropetrovsk,,,,,7.7
2020,13_reg_Dnipropetrovsk,,,,,8.6
2021,13_reg_Dnipropetrovsk,,,,,8.9
2022,13_reg_Dnipropetrovsk,,,,,
2023,13_reg_Dnipropetrovsk,,,,,
2024,13_reg_Dnipropetrovsk,,,,,
2015,14_reg_Donetsk,,,,,13.8
2016,14_reg_Donetsk,,,,,14.1
2017,14_reg_Donetsk,,,,,14.6
2018,14_reg_Donetsk,,,,,14.0
2019,14_reg_Donetsk,,,,,13.6
2020,14_reg_Donetsk,,,,,14.9
2021,14_reg_Donetsk,,,,,15.4
2022,14_reg_Donetsk,,,,,
2023,14_reg_Donetsk,,,,,
2024,14_reg_Donetsk,,,,,
2015,15_reg_Zhytomyr,,,,,11.3
2016,15_reg_Zhytomyr,,,,,11.2
2017,15_reg_Zhytomyr,,,,,10.8
2018,15_reg_Zhytomyr,,,,,10.4
2019,15_reg_Zhytomyr,,,,,9.6
2020,15_reg_Zhytomyr,,,,,10.9
2021,15_reg_Zhytomyr,,,,,11.2
2022,15_reg_Zhytomyr,,,,,
2023,15_reg_Zhytomyr,,,,,
2024,15_reg_Zhytomyr,,,,,
2015,16_reg_Zakarpattya,,,,,9.2
2016,16_reg_Zakarpattya,,,,,10.0
2017,16_reg_Zakarpattya,,,,,10.5
2018,16_reg_Zakarpattya,,,,,10.0
2019,16_reg_Zakarpattya,,,,,9.1
2020,16_reg_Zakarpattya,,,,,10.6
2021,16_reg_Zakarpattya,,,,,11.1
2022,16_reg_Zakarpattya,,,,,
2023,16_reg_Zakarpattya,,,,,
2024,16_reg_Zakarpattya,,,,,
2015,17_reg_Zaporizhzhya,,,,,9.7
2016,17_reg_Zaporizhzhya,,,,,10.0
2017,17_reg_Zaporizhzhya,,,,,10.7
2018,17_reg_Zaporizhzhya,,,,,9.9
2019,17_reg_Zaporizhzhya,,,,,9.5
2020,17_reg_Zaporizhzhya,,,,,10.7
2021,17_reg_Zaporizhzhya,,,,,11.1
2022,17_reg_Zaporizhzhya,,,,,
2023,17_reg_Zaporizhzhya,,,,,
2024,17_reg_Zaporizhzhya,,,,,
2015,18_reg_Ivano-Frankivsk,,,,,8.4
2016,18_reg_Ivano-Frankivsk,,,,,8.8
2017,18_reg_Ivano-Frankivsk,,,,,8.5
2018,18_reg_Ivano-Frankivsk,,,,,7.8
2019,18_reg_Ivano-Frankivsk,,,,,7.2
2020,18_reg_Ivano-Frankivsk,,,,,8.4
2021,18_reg_Ivano-Frankivsk,,,,,8.7
2022,18_reg_Ivano-Frankivsk,,,,,
2023,18_reg_Ivano-Frankivsk,,,,,
2024,18_reg_Ivano-Frankivsk,,,,,
2015,19_reg_Kyiv,,,,,6.4
2016,19_reg_Kyiv,,,,,6.8
2017,19_reg_Kyiv,,,,,6.5
2018,19_reg_Kyiv,,,,,6.3
2019,19_reg_Kyiv,,,,,5.9
2020,19_reg_Kyiv,,,,,6.9
2021,19_reg_Kyiv,,,,,7.2
2022,19_reg_Kyiv,,,,,
2023,19_reg_Kyiv,,,,,
2024,19_reg_Kyiv,,,,,
2015,20_reg_Kirovohrad,,,,,11.4
2016,20_reg_Kirovohrad,,,,,12.4
2017,20_reg_Kirovohrad,,,,,12.2
2018,20_reg_Kirovohrad,,,,,11.6
2019,20_reg_Kirovohrad,,,,,11.0
2020,20_reg_Kirovohrad,,,,,12.7
2021,20_reg_Kirovohrad,,,,,13.2
2022,20_reg_Kirovohrad,,,,,
2023,20_reg_Kirovohrad,,,,,
2024,20_reg_Kirovohrad,,,,,
2015,21_reg_Luhansk,,,,,15.6
2016,21_reg_Luhansk,,,,,16.0
2017,21_reg_Luhansk,,,,,16.6
2018,21_reg_Luhansk,,,,,15.1
2019,21_reg_Luhansk,,,,,13.7
2020,21_reg_Luhansk,,,,,15.4
2021,21_reg_Luhansk,,,,,16.0
2022,21_reg_Luhansk,,,,,
2023,21_reg_Luhansk,,,,,
2024,21_reg_Luhansk,,,,,
2015,22_reg_Lviv,,,,,8.2
2016,22_reg_Lviv,,,,,7.7
2017,22_reg_Lviv,,,,,7.5
