Year,Стать,Вік,Область,Value
2015,,,,
2015,жінки,,,
2015,чоловіки,,,
2015,,дорослі,,
2015,,діти,,
2015,,,Автономна Республіка Крим,
2015,,,Вінницька,
2015,,,Волинська,
2015,,,Дніпропетровська,
2015,,,Донецька,
2015,,,Житомирська,
2015,,,Закарпатська,
2015,,,Запорізька,
2015,,,Івано-Франківська,
2015,,,Київська,
2015,,,Кіровоградська,
2015,,,Луганська,
2015,,,Львівська,
2015,,,Миколаївська,
2015,,,Одеська,
2015,,,Полтавська,
2015,,,Рівненська,
2015,,,Сумська,
2015,,,Тернопільська,
2015,,,Харківська,
2015,,,Херсонська,
2015,,,Хмельницька,
2015,,,Черкаська,
2015,,,Чернівецька,
2015,,,Чернігівська,
2015,,,м. Київ,
2015,,,м. Севастополь,
2016,,,,
2016,жінки,,,
2016,чоловіки,,,
2016,,дорослі,,
2016,,діти,,
2016,,,Автономна Республіка Крим,
2016,,,Вінницька,
2016,,,Волинська,
2016,,,Дніпропетровська,
2016,,,Донецька,
2016,,,Житомирська,
2016,,,Закарпатська,
2016,,,Запорізька,
2016,,,Івано-Франківська,
2016,,,Київська,
2016,,,Кіровоградська,
2016,,,Луганська,
2016,,,Львівська,
2016,,,Миколаївська,
2016,,,Одеська,
2016,,,Полтавська,
2016,,,Рівненська,
2016,,,Сумська,
2016,,,Тернопільська,
2016,,,Харківська,
2016,,,Херсонська,
2016,,,Хмельницька,
2016,,,Черкаська,
2016,,,Чернівецька,
2016,,,Чернігівська,
2016,,,м. Київ,
2016,,,м. Севастополь,
2017,,,,18.0
2017,жінки,,,
2017,чоловіки,,,
2017,,дорослі,,
2017,,діти,,
2017,,,Автономна Республіка Крим,
2017,,,Вінницька,9.0
2017,,,Волинська,12.0
2017,,,Дніпропетровська,7.0
2017,,,Донецька,29.0
2017,,,Житомирська,18.0
2017,,,Закарпатська,21.0
2017,,,Запорізька,34.0
2017,,,Івано-Франківська,0.0
2017,,,Київська,25.0
2017,,,Кіровоградська,7.0
2017,,,Луганська,6.0
2017,,,Львівська,22.0
2017,,,Миколаївська,48.0
2017,,,Одеська,16.0
2017,,,Полтавська,0.0
2017,,,Рівненська,87.0
2017,,,Сумська,0.0
2017,,,Тернопільська,3.0
2017,,,Харківська,34.0
2017,,,Херсонська,5.0
2017,,,Хмельницька,33.0
2017,,,Черкаська,12.0
2017,,,Чернівецька,23.0
