Year,group_13,group_16,Region,Value
2015,,,,23.5
2015,group_label_174,,,22.8
2015,group_label_175,,,23.9
2015,,group_label_189,,27.0
2015,,group_label_190,,16.1
2015,,,autonomous_Republic_of_Crimea,
2015,,,11_reg_Vinnytsya,35.0
2015,,,12_reg_Volyn,18.3
2015,,,13_reg_Dnipropetrovsk,43.3
2015,,,14_reg_Donetsk,20.3
2015,,,15_reg_Zhytomyr,21.7
2015,,,16_reg_Zakarpattya,2.5
2015,,,17_reg_Zaporizhzhya,26.1
2015,,,18_reg_Ivano-Frankivsk,6.4
2015,,,19_reg_Kyiv,30.6
2015,,,20_reg_Kirovohrad,20.3
2015,,,21_reg_Luhansk,32.3
2015,,,22_reg_Lviv,30.7
2015,,,23_reg_Mykolayiv,7.5
2015,,,24_reg_Odesa,7.4
2015,,,25_reg_Poltava,38.3
2015,,,26_reg_Rivne,3.4
2015,,,27_reg_Sumy,7.0
2015,,,28_reg_Ternopil,7.9
2015,,,29_reg_Kharkiv,22.8
2015,,,30_reg_Kherson,14.0
2015,,,31_reg_Khmelnytskiy,7.4
2015,,,32_reg_Cherkasy,24.9
2015,,,33_reg_Chernivtsi,4.8
2015,,,34_reg_Chernihiv,16.9
2015,,,Kyiv_city,62.6
2015,,,city_Sevastopol,
2016,,,,24.7
2016,group_label_174,,,28.1
2016,group_label_175,,,22.5
2016,,group_label_189,,28.7
2016,,group_label_190,,16.5
2016,,,autonomous_Republic_of_Crimea,
2016,,,11_reg_Vinnytsya,28.6
2016,,,12_reg_Volyn,19.1
2016,,,13_reg_Dnipropetrovsk,27.9
2016,,,14_reg_Donetsk,34.0
2016,,,15_reg_Zhytomyr,5.5
2016,,,16_reg_Zakarpattya,
2016,,,17_reg_Zaporizhzhya,40.8
2016,,,18_reg_Ivano-Frankivsk,13.3
2016,,,19_reg_Kyiv,40.6
2016,,,20_reg_Kirovohrad,26.0
2016,,,21_reg_Luhansk,34.9
2016,,,22_reg_Lviv,16.8
2016,,,23_reg_Mykolayiv,20.5
2016,,,24_reg_Odesa,18.8
2016,,,25_reg_Poltava,52.2
2016,,,26_reg_Rivne,3.2
2016,,,27_reg_Sumy,5.3
2016,,,28_reg_Ternopil,12.3
2016,,,29_reg_Kharkiv,22.8
2016,,,30_reg_Kherson,12.2
2016,,,31_reg_Khmelnytskiy,9.1
2016,,,32_reg_Cherkasy,37.0
2016,,,33_reg_Chernivtsi,2.8
2016,,,34_reg_Chernihiv,12.8
2016,,,Kyiv_city,56.8
2016,,,city_Sevastopol,
2017,,,,26.1
2017,group_label_174,,,24.3
2017,group_label_175,,,27.3
2017,,group_label_189,,30.2
2017,,group_label_190,,17.7
2017,,,autonomous_Republic_of_Crimea,
2017,,,11_reg_Vinnytsya,24.3
2017,,,12_reg_Volyn,46.3
2017,,,13_reg_Dnipropetrovsk,35.1
2017,,,14_reg_Donetsk,36.5
2017,,,15_reg_Zhytomyr,3.1
2017,,,16_reg_Zakarpattya,
2017,,,17_reg_Zaporizhzhya,39.4
2017,,,18_reg_Ivano-Frankivsk,24.3
2017,,,19_reg_Kyiv,40.1
2017,,,20_reg_Kirovohrad,22.4
2017,,,21_reg_Luhansk,37.4
2017,,,22_reg_Lviv,23.1
2017,,,23_reg_Mykolayiv,13.9
2017,,,24_reg_Odesa,15.3
2017,,,25_reg_Poltava,30.5
2017,,,26_reg_Rivne,12.6
2017,,,27_reg_Sumy,1.7
2017,,,28_reg_Ternopil,13.0
2017,,,29_reg_Kharkiv,15.4
2017,,,30_reg_Kherson,14.7
2017,,,31_reg_Khmelnytskiy,17.3
2017,,,32_reg_Cherkasy,37.2
2017,,,33_reg_Chernivtsi,16.7
2017,,,34_reg_Chernihiv,16.8
2017,,,Kyiv_city,61.6
2017,,,city_Sevastopol,
2018,,,,21.1
2018,group_label_174,,,19.8
2018,group_label_175,,,22.0
2018,,group_label_189,,24.7
2018,,group_label_190,,13.6
2018,,,autonomous_Republic_of_Crimea,
2018,,,11_reg_Vinnytsya,35.5
2018,,,12_reg_Volyn,18.6
2018,,,13_reg_Dnipropetrovsk,34.8
2018,,,14_reg_Donetsk,26.1
2018,,,15_reg_Zhytomyr,3.5
2018,,,16_reg_Zakarpattya,
2018,,,17_reg_Zaporizhzhya,27.1
2018,,,18_reg_Ivano-Frankivsk,7.7
2018,,,19_reg_Kyiv,26.2
2018,,,20_reg_Kirovohrad,25.9
2018,,,21_reg_Luhansk,27.1
2018,,,22_reg_Lviv,17.7
2018,,,23_reg_Mykolayiv,14.2
2018,,,24_reg_Odesa,3.5
2018,,,25_reg_Poltava,26.2
2018,,,26_reg_Rivne,
2018,,,27_reg_Sumy,20.0
2018,,,28_reg_Ternopil,8.2
2018,,,29_reg_Kharkiv,27.9
2018,,,30_reg_Kherson,11.1
2018,,,31_reg_Khmelnytskiy,13.5
2018,,,32_reg_Cherkasy,22.8
2018,,,33_reg_Chernivtsi,10.3
2018,,,34_reg_Chernihiv,16.5
2018,,,Kyiv_city,48.7
2018,,,city_Sevastopol,
2019,,,,12.6
2019,group_label_174,,,12.7
2019,group_label_175,,,12.6
2019,,group_label_189,,14.6
2019,,group_label_190,,8.7
2019,,,autonomous_Republic_of_Crimea,
2019,,,11_reg_Vinnytsya,15.4
2019,,,12_reg_Volyn,12.4
2019,,,13_reg_Dnipropetrovsk,15.0
2019,,,14_reg_Donetsk,16.9
