Year,Region,Value
2015,Ukraine,
2016,Ukraine,
2017,Ukraine,
2018,Ukraine,
2019,Ukraine,
2020,Ukraine,
2021,Ukraine,
2022,Ukraine,
2023,Ukraine,
2024,Ukraine,668.39
2015,19_reg_Kyiv,
2016,19_reg_Kyiv,
2017,19_reg_Kyiv,
2018,19_reg_Kyiv,
2019,19_reg_Kyiv,
2020,19_reg_Kyiv,
2021,19_reg_Kyiv,
2022,19_reg_Kyiv,
2023,19_reg_Kyiv,
2024,19_reg_Kyiv,487.32
2015,23_reg_Mykolayiv,
2016,23_reg_Mykolayiv,
2017,23_reg_Mykolayiv,
2018,23_reg_Mykolayiv,
2019,23_reg_Mykolayiv,
2020,23_reg_Mykolayiv,
2021,23_reg_Mykolayiv,
2022,23_reg_Mykolayiv,
2023,23_reg_Mykolayiv,
2024,23_reg_Mykolayiv,131.44
2015,29_reg_Kharkiv,
2016,29_reg_Kharkiv,
2017,29_reg_Kharkiv,
2018,29_reg_Kharkiv,
2019,29_reg_Kharkiv,
2020,29_reg_Kharkiv,
2021,29_reg_Kharkiv,
2022,29_reg_Kharkiv,
2023,29_reg_Kharkiv,
2024,29_reg_Kharkiv,28.50
2015,30_reg_Kherson,
2016,30_reg_Kherson,
2017,30_reg_Kherson,
2018,30_reg_Kherson,
2019,30_reg_Kherson,
2020,30_reg_Kherson,
2021,30_reg_Kherson,
2022,30_reg_Kherson,
2023,30_reg_Kherson,
2024,30_reg_Kherson,21.13
