Year,Type of residence,Region,Value
2015,,Ukraine,14.4
2015,urban,Ukraine,18.5
2015,rural,Ukraine,6.7
2015,,Autonomous Republic of Crimea,
2015,,Vinnytsya,18.1
2015,,Volyn,12.2
2015,,Volyn,12.2
2015,,Dnipropetrovsk,19.0
2015,,Donetsk,
2015,,Zhytomyr,15.6
2015,,Zakarpattya,12.7
2015,,Zaporizhzhya,16.6
2015,,Ivano-Frankivsk,14.5
2015,,Kyiv,16.3
2015,,Kirovohrad,17.1
2015,,Luhansk,
2015,,Lviv,13.7
2015,,Mykolayiv,17.9
2015,,Odesa,16.8
2015,,Poltava,15.9
2015,,Rivne,13.8
2015,,Sumy,14.6
2015,,Ternopil,14.2
2015,,Kharkiv,15.4
2015,,Kherson,18.6
2015,,Khmelnytskiy,16.1
2015,,Cherkasy,15.8
2015,,Chernivtsi,14.9
2015,,Chernihiv,14.1
2015,,the city of Kyiv,9.6
2015,,city Sevastopol,
2016,,Ukraine,15.3
2016,urban,Ukraine,19.7
2016,rural,Ukraine,7.2
2016,,Autonomous Republic of Crimea,
2016,,Vinnytsya,18.7
2016,,Volyn,12.3
2016,,Volyn,12.3
2016,,Dnipropetrovsk,19.6
2016,,Donetsk,
2016,,Zhytomyr,16.5
2016,,Zakarpattya,13.1
2016,,Zaporizhzhya,17.0
2016,,Ivano-Frankivsk,15.4
2016,,Kyiv,17.4
2016,,Kirovohrad,17.8
2016,,Luhansk,
2016,,Lviv,14.3
2016,,Mykolayiv,18.6
2016,,Odesa,17.5
2016,,Poltava,16.7
2016,,Rivne,14.4
2016,,Sumy,15.3
2016,,Ternopil,14.9
2016,,Kharkiv,16.1
2016,,Kherson,19.4
2016,,Khmelnytskiy,16.9
2016,,Cherkasy,16.6
2016,,Chernivtsi,15.7
2016,,Chernihiv,14.9
2016,,the city of Kyiv,10.1
2016,,city Sevastopol,
2017,,Ukraine,16.0
2017,urban,Ukraine,20.6
2017,rural,Ukraine,7.6
2017,,Autonomous Republic of Crimea,
2017,,Vinnytsya,20.7
2017,,Volyn,13.1
2017,,Volyn,13.1
2017,,Dnipropetrovsk,20.5
2017,,Donetsk,
2017,,Zhytomyr,16.7
2017,,Zakarpattya,14.2
2017,,Zaporizhzhya,17.8
2017,,Ivano-Frankivsk,15.8
2017,,Kyiv,18.0
2017,,Kirovohrad,18.7
2017,,Luhansk,
2017,,Lviv,14.7
2017,,Mykolayiv,19.5
2017,,Odesa,18.2
2017,,Poltava,17.3
2017,,Rivne,15.1
2017,,Sumy,16.0
2017,,Ternopil,15.6
2017,,Kharkiv,16.9
2017,,Kherson,20.3
2017,,Khmelnytskiy,17.7
2017,,Cherkasy,17.3
2017,,Chernivtsi,16.4
2017,,Chernihiv,15.6
2017,,the city of Kyiv,10.6
2017,,city Sevastopol,
2018,,Ukraine,16.9
2018,urban,Ukraine,21.7
2018,rural,Ukraine,8.0
2018,,Autonomous Republic of Crimea,
2018,,Vinnytsya,22.7
2018,,Volyn,13.6
2018,,Volyn,13.6
2018,,Dnipropetrovsk,21.0
2018,,Donetsk,
2018,,Zhytomyr,18.4
2018,,Zakarpattya,14.8
2018,,Zaporizhzhya,19.1
2018,,Ivano-Frankivsk,17.2
2018,,Kyiv,19.3
2018,,Kirovohrad,20.2
2018,,Luhansk,
2018,,Lviv,15.8
2018,,Mykolayiv,20.7
2018,,Odesa,19.4
2018,,Poltava,18.6
2018,,Rivne,16.3
2018,,Sumy,17.2
2018,,Ternopil,16.8
2018,,Kharkiv,18.2
2018,,Kherson,21.5
2018,,Khmelnytskiy,18.9
2018,,Cherkasy,18.5
2018,,Chernivtsi,17.6
2018,,Chernihiv,16.8
2018,,the city of Kyiv,11.4
2018,,city Sevastopol,
2019,,Ukraine,17.9
2019,urban,Ukraine,23.0
2019,rural,Ukraine,8.4
2019,,Autonomous Republic of Crimea,
2019,,Vinnytsya,22.9
2019,,Volyn,14.2
2019,,Volyn,14.2
2019,,Dnipropetrovsk,21.3
2019,,Donetsk,
2019,,Zhytomyr,18.8
2019,,Zakarpattya,15.7
2019,,Zaporizhzhya,20.4
2019,,Ivano-Frankivsk,17.7
2019,,Kyiv,20.4
2019,,Kirovohrad,21.0
2019,,Luhansk,
2019,,Lviv,16.4
2019,,Mykolayiv,21.6
2019,,Odesa,20.3
2019,,Poltava,19.2
2019,,Rivne,17.0
2019,,Sumy,17.9
2019,,Ternopil,17.4
2019,,Kharkiv,19.1
2019,,Kherson,22.4
2019,,Khmelnytskiy,19.7
2019,,Cherkasy,19.4
2019,,Chernivtsi,18.5
2019,,Chernihiv,17.7
2019,,the city of Kyiv,12.0
2019,,city Sevastopol,12.0
2020,,Ukraine,16.3
2020,urban,Ukraine,21.1
2020,rural,Ukraine,7.6
2020,,Autonomous Republic of Crimea,
2020,,Vinnytsya,21.4
2020,,Volyn,12.3
2020,,Volyn,12.3
2020,,Dnipropetrovsk,20.6
2020,,Donetsk,
2020,,Zhytomyr,18.5
2020,,Zakarpattya,13.5
2020,,Zaporizhzhya,19.2
2020,,Ivano-Frankivsk,15.6
2020,,Kyiv,18.6
2020,,Kirovohrad,19.1
2020,,Luhansk,
2020,,Lviv,14.8
2020,,Mykolayiv,20.4
2020,,Odesa,18.7
2020,,Poltava,17.8
2020,,Rivne,15.4
2020,,Sumy,16.5
2020,,Ternopil,15.9
2020,,Kharkiv,17.4
2020,,Kherson,20.8
2020,,Khmelnytskiy,18.3
2020,,Cherkasy,17.9
2020,,Chernivtsi,17.1
2020,,Chernihiv,16.2
2020,,the city of Kyiv,11.1
2020,,city Sevastopol,1.0
2021,,Ukraine,18.1
2021,urban,Ukraine,23.4
2021,rural,Ukraine,8.7
2021,,Autonomous Republic of Crimea,
2021,,Vinnytsya,24.7
2021,,Volyn,13.7
2021,,Dnipropetrovsk,22.2
2021,,Donetsk,
2021,,Zhytomyr,20.2
2021,,Zakarpattya,14.8
2021,,Zaporizhzhya,21.2
2021,,Ivano-Frankivsk,18.3
2021,,Kyiv,21.1
2021,,Kirovohrad,22.0
2021,,Luhansk,
2021,,Lviv,16.9
2021,,Mykolayiv,22.8
2021,,Odesa,21.5
2021,,Poltava,20.4
2021,,Rivne,17.6
2021,,Sumy,18.8
2021,,Ternopil,18.1
